NUM_LETTERS	NUM_CLAUSES	MODEL_SIZE	SATISFIED	TIME(s)
1	1	4	YES	0.0000876
1	1	4	YES	0.0002257
1	1	4	YES	0.0000194
1	1	5	YES	0.0000248
1	1	5	YES	0.0000356
1	1	4	YES	0.0002659
1	1	4	YES	0.0000523
1	1	4	YES	0.0000254
1	1	5	YES	0.0003240
1	1	5	YES	0.0000348
1	1	4	YES	0.0000393
1	1	4	YES	0.0000322
1	1	4	YES	0.0000290
1	1	4	YES	0.0000143
1	1	4	YES	0.0000262
1	1	4	YES	0.0000371
1	1	4	YES	0.0000155
1	1	4	YES	0.0000312
1	1	4	YES	0.0000251
1	1	4	YES	0.0000425
1	1	4	YES	0.0000537
1	1	4	YES	0.0000487
1	1	5	YES	0.0002685
1	1	0	NO	0.0012592
1	1	0	NO	0.0012835
1	1	0	NO	0.0019884
1	1	0	NO	0.0018964
1	1	4	YES	0.0000149
1	1	4	YES	0.0000400
1	1	0	NO	0.0017611
1	1	4	YES	0.0000318
1	1	4	YES	0.0000228
1	1	4	YES	0.0000277
1	1	0	NO	0.0023348
1	1	4	YES	0.0000321
1	1	5	YES	0.0000356
1	1	4	YES	0.0000306
1	1	4	YES	0.0000311
1	1	0	NO	0.0025313
1	1	4	YES	0.0000146
1	1	5	YES	0.0000239
1	1	0	NO	0.0015675
1	1	4	YES	0.0000308
1	1	5	YES	0.0000433
1	1	4	YES	0.0000170
1	1	0	NO	0.0021796
1	1	4	YES	0.0000274
1	1	0	NO	0.0020475
1	1	0	NO	0.0017795
1	1	4	YES	0.0000340
1	1	4	YES	0.0000270
1	1	4	YES	0.0000333
1	1	4	YES	0.0000302
1	1	0	NO	0.0020010
1	1	0	NO	0.0015163
1	1	4	YES	0.0000309
1	1	4	YES	0.0000344
1	1	4	YES	0.0000254
1	1	0	NO	0.0013973
1	1	0	NO	0.0025340
1	1	0	NO	0.0015357
1	1	0	NO	0.0019532
1	1	5	YES	0.0000234
1	1	4	YES	0.0000175
1	1	0	NO	0.0017479
1	1	0	NO	0.0024552
1	1	0	NO	0.0016457
1	1	5	YES	0.0000312
1	1	4	YES	0.0000190
1	1	0	NO	0.0012907
1	1	0	NO	0.0021999
1	1	0	NO	0.0020216
1	1	4	YES	0.0000322
1	1	4	YES	0.0000263
